@relation rationale
@attribute sentence string
@attribute classification string
@data
' CJK_NNP UNIFIED_NNP IDEOGRAPH_NNP EXTENSION_NNP A_NNP is_VBZ included_VBN in_IN GB18030:2005_NNP ,_, and_CC GB18030:2005_NNP is_VBZ the_DT China_NNP locale_NN standard_NN ._.','irrelevant'
' All_DT of_IN the_DT lost_JJ 686_CD Chinese_JJ characters_NNS locate_VBP in_IN CJK_NNP UNIFIED_NNP IDEOGRAPH_NNP EXTENSION_NNP A_DT block_NN ._.','irrelevant'
' Created_VBN attachment_NN 5880_CD \n_ example_NN characters_NNS in_IN CJK_NNP extension_NN A._NN','irrelevant'
' Something_NN is_VBZ wrong_JJ in_IN iso14651_t1_pinyin_NNP and_CC iso14651_t1_NN','relevant'
' This_DT patch_NN can_MD fix_VB this_DT bug_NN ,_, when_WRB sort_RB -u_: was_VBD executed_VBN in_IN any_DT LANG_NNS except_IN for_IN zh_CN_NNP ._.','relevant'
' There_EX are_VBP 25496_CD Chinese_JJ characters_NNS in_IN iso14651_t1_pinyin_NNP ,_, most_JJS of_IN them_PRP distribute_VBP over_IN CJK_NNP unified_VBN ideographs_NNS and_CC CJK_NNP unified_VBN ideographs_NNS extension_NN A._NN','relevant'
' But_CC there_EX are_VBP 27552_CD Chinese_JJ characters_NNS in_IN CJK_NNP unified_VBN ideographs_NNS and_CC extension_NN A_NNP ,_, more_JJR than_IN 2000_CD Chinese_JJ characters_NNS without_IN pinyin_NNP were_VBD losted_VBN ._.','relevant'
' So_RB my_PRP$ suggestion_NN is_VBZ just_RB add_VB the_DT losted_JJ characters_NNS at_IN the_DT end_NN of_IN the_DT iso14651_t1_pinyin_NN ,_, in_IN the_DT order_NN of_IN unicode_NN ._.','relevant'
' Could_MD you_PRP give_VB me_PRP any_DT feedback_NN ?_.','irrelevant'
" Status_NNP changed_VBD to_IN '_`` Confirmed_VBN '_'' because_IN the_DT bug_NN affects_VBZ multiple_JJ users_NNS ._.",'relevant'
' I_PRP get_VBP exactly_RB the_DT same_JJ messages_NNS as_IN in_IN comment_NN #_$ 3_CD ._.','irrelevant'
' This_DT happens_VBZ on_IN an_DT upgraded_VBN Oneiric_NNP ,_, using_VBG a_DT PPA_NNP (_-LRB- https://launchpad.net/~ferramroberto/+archive/minitube_NN )_-RRB- for_IN the_DT Minitube_NNP version_NN 1.6_CD','relevant'
' Negative_JJ on_IN that_DT ._.','irrelevant'
' I_PRP have_VBP phonon_NN installed_VBN here_RB with_IN the_DT gstreamer_NN backend_NN ._.','relevant'
' Minitube_RB really_RB is_VBZ complaining_VBG about_IN a_DT missing_VBG plug_NN -_HYPH in_NN for_IN the_DT Quicktime_NNP protocol_NN ,_, not_RB about_IN a_DT missing_VBG generic_JJ multimedia_NNS backend_VBP ._.','relevant'
' Ok_UH ,_, it_PRP works_VBZ for_IN me_PRP now_RB \n_ puhhh_JJ :-)_: \n_ Found_VBD the_DT solution_NN in_IN this_DT thread_NN https://bbs.archlinux.org/viewtopic.php?pid=951463#p951463_NN \n_ sudo_JJ ln_IN -s_NFP /usr_. /_SYM lib_NN /_SYM gstreamer-0.10/libgstisomp4.so_NN /usr_. /_SYM lib_NN /_SYM gstreamer-0.10/libgstqtdemux.so_NN \n_ et_NN voilà_NN !_.','relevant'
' I_PRP upgraded_VBD from_IN Ubuntu_NNP 11.04_CD to_IN 11.10_CD on_IN two_CD machines_NNS ,_, but_CC only_RB one_CD machine_NN was_VBD causing_VBG troubles_NNS with_IN minitube_RB ._.','relevant'
' And_CC in_IN addition_NN ,_, minitubes_NNS works_VBZ out_RP -_HYPH of_IN -_HYPH the_DT -_HYPH box_NN in_IN a_DT 11.10_CD LiveSystem_NNP ._.','relevant'
' Something_NN must_MD have_VB been_VBN screwed_VBN up_RP on_IN my_PRP$ second_JJ machine_NN ..._.','irrelevant'
" It_PRP appears_VBZ that_DT '_`` gstreamer0.10-plugins_VBZ -_: good_NN '_'' used_VBN to_TO provide_VB /usr_SYM /_NFP lib_NN /_SYM gstreamer-0.10/libgstqtdemux.so_NN until_IN Natty_NNP ._.",'relevant'
' This_DT is_VBZ no_RB longer_RBR the_DT case_NN since_IN Oneiric_NNP and_CC it_PRP breaks_VBZ some_DT user_NN applications_NNS ,_, as_IN seen_VBN above_RB with_IN Minitube_NNP ._.','relevant'
" Status_NNP changed_VBD to_IN '_`` Confirmed_VBN '_'' because_IN the_DT bug_NN affects_VBZ multiple_JJ users_NNS ._.",'relevant'
' This_DT issue_NN has_VBZ returned_VBN to_IN Precise_NNP ._.','irrelevant'
' However_RB ,_, the_DT workaround_NN no_RB longer_RB works_VBZ ,_, because_IN libgstisomp4.so_NN has_VBZ changed_VBN location_NN :_: \n_ /usr_. /_SYM lib_NN /_SYM i386-linux_NN -_HYPH gnu_NNP /_, gstreamer-0.10/libgstisomp4.so_NN','relevant'
" Status_NNP changed_VBD to_IN '_`` Confirmed_VBN '_'' because_IN the_DT bug_NN affects_VBZ multiple_JJ users_NNS ._.",'relevant'
' I_PRP get_VBP exactly_RB the_DT same_JJ messages_NNS as_IN in_IN comment_NN #_$ 3_CD ._.','irrelevant'
' This_DT happens_VBZ on_IN an_DT upgraded_VBN Oneiric_NNP ,_, using_VBG a_DT PPA_NNP (_-LRB- https://launchpad.net/~ferramroberto/+archive/minitube_NN )_-RRB- for_IN the_DT Minitube_NNP version_NN 1.6_CD','relevant'
' Negative_JJ on_IN that_DT ._.','irrelevant'
' I_PRP have_VBP phonon_NN installed_VBN here_RB with_IN the_DT gstreamer_NN backend_NN ._.','relevant'
' Minitube_RB really_RB is_VBZ complaining_VBG about_IN a_DT missing_VBG plug_NN -_HYPH in_NN for_IN the_DT Quicktime_NNP protocol_NN ,_, not_RB about_IN a_DT missing_VBG generic_JJ multimedia_NNS backend_VBP ._.','relevant'
' Ok_UH ,_, it_PRP works_VBZ for_IN me_PRP now_RB \n_ puhhh_JJ :-)_: \n_ Found_VBD the_DT solution_NN in_IN this_DT thread_NN https://bbs.archlinux.org/viewtopic.php?pid=951463#p951463_NN \n_ sudo_JJ ln_IN -s_NFP /usr_. /_SYM lib_NN /_SYM gstreamer-0.10/libgstisomp4.so_NN /usr_. /_SYM lib_NN /_SYM gstreamer-0.10/libgstqtdemux.so_NN \n_ et_NN voilà_NN !_.','relevant'
' I_PRP upgraded_VBD from_IN Ubuntu_NNP 11.04_CD to_IN 11.10_CD on_IN two_CD machines_NNS ,_, but_CC only_RB one_CD machine_NN was_VBD causing_VBG troubles_NNS with_IN minitube_RB ._.','relevant'
' And_CC in_IN addition_NN ,_, minitubes_NNS works_VBZ out_RP -_HYPH of_IN -_HYPH the_DT -_HYPH box_NN in_IN a_DT 11.10_CD LiveSystem_NNP ._.','relevant'
' Something_NN must_MD have_VB been_VBN screwed_VBN up_RP on_IN my_PRP$ second_JJ machine_NN ..._.','irrelevant'
" It_PRP appears_VBZ that_DT '_`` gstreamer0.10-plugins_VBZ -_: good_NN '_'' used_VBN to_TO provide_VB /usr_SYM /_NFP lib_NN /_SYM gstreamer-0.10/libgstqtdemux.so_NN until_IN Natty_NNP ._.",'relevant'
' This_DT is_VBZ no_RB longer_RBR the_DT case_NN since_IN Oneiric_NNP and_CC it_PRP breaks_VBZ some_DT user_NN applications_NNS ,_, as_IN seen_VBN above_RB with_IN Minitube_NNP ._.','relevant'
" Status_NNP changed_VBD to_IN '_`` Confirmed_VBN '_'' because_IN the_DT bug_NN affects_VBZ multiple_JJ users_NNS ._.",'relevant'
' This_DT issue_NN has_VBZ returned_VBN to_IN Precise_NNP ._.','irrelevant'
' However_RB ,_, the_DT workaround_NN no_RB longer_RB works_VBZ ,_, because_IN libgstisomp4.so_NN has_VBZ changed_VBN location_NN :_: \n_ /usr_. /_SYM lib_NN /_SYM i386-linux_NN -_HYPH gnu_NNP /_, gstreamer-0.10/libgstisomp4.so_NN','relevant'
' Sorry_UH ,_, I_PRP said_VBD getgroups_NNS in_IN my_PRP$ original_JJ post_NN ,_, and_CC I_PRP should_MD have_VB said_VBD getgrouplist_NN ._.','irrelevant'
" Status_NNP changed_VBD to_IN '_`` Confirmed_VBN '_'' because_IN the_DT bug_NN affects_VBZ multiple_JJ users_NNS ._.",'relevant'
" Thank_VBP you_PRP for_IN your_PRP$ bug_NN report_NN ,_, that_DT seems_VBZ like_IN the_DT sort_NN of_IN issues_NNS that_WDT should_MD be_VB discussed_VBN upstream_RB ,_, somebody_NN should_MD report_VB a_DT bug_NN on_IN https://bugs.freedesktop.org/enter_bug.cgi?product=accountsservice_NN \n_ While_IN the_DT issue_NN is_VBZ an_DT important_JJ one_NN it_PRP 's_VBZ limited_JJ to_IN some_DT big_JJ deployments_NNS and_CC those_DT can_MD probably_RB uninstall_VB accountsservices_NNS (_-LRB- lightdm_NN will_MD fallback_VB if_IN it_PRP 's_VBZ not_RB sure_JJ )_-RRB- ,_, ideally_RB we_PRP would_MD work_VB on_IN the_DT issue_NN but_CC we_PRP have_VBP limited_VBN resources_NNS and_CC it_PRP 's_VBZ not_RB on_IN the_DT priority_NN list_NN",'relevant'
' Original_JJ report_NN :_: https://bugs.launchpad.net/bugs/941673_NN \n_ The_DT performance_NN of_IN accounts_NNS -_HYPH daemon_NN is_VBZ unacceptable_JJ with_IN large_JJ password_NN and/or_CC group_NN files_NNS ._.','relevant'
' We_PRP have_VBP appoximately_RB 40000_CD users_NNS in_IN the_DT passwords_NNS file_NN and_CC 16000_CD lines_NNS in_IN the_DT group_NN file_NN ._.','irrelevant'
' Having_VBG looked_VBN at_IN the_DT source_NN ,_, it_PRP appears_VBZ to_IN me_PRP the_DT problem_NN is_VBZ that_IN for_IN each_DT user_NN is_VBZ pulls_NNS from_IN the_DT password_JJ database_NN (_-LRB- via_IN getpwXXX_NN )_-RRB-  _ its_PRP$ then_RB calls_NNS getgrouplist_VBP to_TO return_VB the_DT users_NNS list_NN of_IN groups_NNS ._.','relevant'
' Getgroups_NNS must_MD make_VB a_DT complete_JJ pass_NN through_IN the_DT group_NN file_NN to_TO determine_VB the_DT groups_NNS for_IN the_DT user_NN ._.','relevant'
' When_WRB initializing_VBG this_DT results_NNS in_IN \n_ reading_VBG the_DT groups_NNS file_VBP 40000_CD times_NNS ._.','relevant'
' I_PRP think_VBP a_DT better_JJR solution_NN is_VBZ to_TO build_VB a_DT inverted_VBN group_NN file_NN map_VBP then_RB first_JJ time_NN getgroups_NNS is_VBZ called_VBN by_IN reading_VBG the_DT entire_JJ group_NN database_NN and_CC building_VBG a_DT data_NN structure_NN indexed_VBN by_IN username_NN where_WRB a_DT users_NNS group_NN list_NN can_MD by_IN found_VBN in_IN a_DT single_JJ lookup_NN ._.','relevant'
' Of_IN couse_NN ,_, an_DT even_RB better_JJR solution_NN would_MD be_VB for_IN getgroups_NNS to_TO do_VB that_DT itself_PRP ,_, but_CC that_DT would_MD require_VB much_RB larger_JJR code_NN changes_NNS ._.','relevant'
' I_PRP tried_VBD installed_VBN nscd_NN to_TO see_VB if_IN this_DT would_MD make_VB a_DT difference_NN but_CC no_DT \n_ dice_NN ._.','relevant'
' Thank_VBP you_PRP for_IN your_PRP$ bug_NN report_NN ._.','irrelevant'
' This_DT bug_NN has_VBZ been_VBN reported_VBN to_IN the_DT developers_NNS of_IN the_DT software_NN ._.','irrelevant'
' You_PRP can_MD track_VB it_PRP and_CC make_VB comments_NNS at_IN https://bugs.freedesktop.org/show_bug.cgi?id=48177_NNS','irrelevant'
' maybe_RB we_PRP could_MD just_RB bail_VB if_IN there_EX are_VBP greater_JJR than_IN N_NNP found_VBD users_NNS ._.','relevant'
' The_DT problem_NN then_RB is_VBZ finding_VBG a_DT suitable_JJ value_NN of_IN N._NNP','relevant'
' Hi_UH Guys_NNP ,_, \n_ As_IN a_DT workaround_NN for_IN the_DT time_NN being_VBG one_PRP could_MD do_VB the_DT following_NN (_-LRB- tested_VBN on_IN 12.04_CD )_-RRB- :_: \n_ Remove_NNP accountsservice_NN \n_ sudo_JJ apt_JJ -_HYPH get_VB remove_VB accountsservice_NN \n_ Edit_NNP /etc_NNS /_SYM lightdm_NN /_SYM lightdm.conf_VBD and_CC add_VB the_DT following_VBG line_NN :_: \n_ greeter_NN -_HYPH hide_NN -_HYPH users_NNS =_SYM true_JJ \n_ Then_RB restart_VBP lightdm_NN or_CC reboot_VB the_DT machine_NN :_: \n_ sudo_JJ service_NN lightdm_NN restart_NN \n_ Leonardo_NNP Borda_NNP','relevant'
' FYI_NNP ,_, \n_ I_PRP think_VBP I_PRP have_VBP a_DT workaround_NN for_IN this_DT problem_NN by_IN putting_VBG \n_ UID_MIN_NNP 9999999_CD \n_ into_IN /etc_ADD /_SYM gdm_NN /_SYM custom.conf_NNP \n_ This_DT seems_VBZ fragile_JJ since_IN I_PRP am_VBP not_RB sure_JJ the_DT interaction_NN of_IN accountsservices_NNS and_CC custom.conf_NNP is_VBZ stable_JJ or_CC documented_VBN but_CC it_PRP appears_VBZ to_TO solve_VB the_DT problem_NN ._.','relevant'
' Of_RB course_RB ,_, this_DT is_VBZ not_RB a_DT general_JJ solution_NN for_IN all_DT sites_NNS ,_, but_CC happens_VBZ to_TO work_VB for_IN me_PRP ._.','relevant'
' Created_VBN attachment_NN 65941_CD \n_ proposed_VBN patch_NN \n_ limit_NN the_DT no_NN of_IN user_NN listed_VBN by_IN a_DT -_HYPH s_NN to_IN UID_MAX_NNP ._.','relevant'
' Also_RB ,_, sets_VBZ user_NN -_HYPH limit_NN to_IN true_JJ when_WRB this_DT condition_NN is_VBZ meet_NN ,_, allowing_VBG apps_NNS like_IN gdm_NN /_SYM lightdm_NN to_TO enable_VB manual_JJ login_NN option_NN ._.','relevant'
' Talked_VBN with_IN Ritesh_NNP about_IN this_DT bug_NN today_NN on_IN IRC_NNP ._.','irrelevant'
" He_PRP 's_VBZ going_VBG to_TO look_VB into_IN using_VBG fgetgrent_NN to_TO create_VB the_DT hash_NN table_NN of_IN local_JJ groups_NNS and_CC use_VB that_DT ._.",'relevant'
' Created_VBN attachment_NN 66171_CD \n_ proposed_VBN patch_NN','relevant'
' ritz_NN ,_, any_DT chance_NN you_PRP could_MD get_VB this_DT applying_VBG against_IN master_NN (_-LRB- preferably_RB as_IN a_DT git_NN -_HYPH format_NN -_HYPH patch_NN formatted_VBN patch_NN )_-RRB- ?_.','irrelevant'
' Our_PRP$ setup_NN is_VBZ affected_VBN by_IN this_DT bug_NN when_WRB the_DT ldap_NN server_NN is_VBZ offline_NN ._.','relevant'
" What_WP is_VBZ the_DT proper_JJ way_NN to_TO disable_VB accounts_NNS service_NN and_CC '_`` fallback_VB lightdm_NN '_'' ?_.",'relevant'
